name,description,unit_price,category,allergens
Amaretto Sour,"A bittersweet serenade that plays almond notes with lively citrus, as harmonious as a string quartet.  It mixes almond-flavored amaretto liqueur with fresh lemon juice and a dash of simple syrup, shaken to a frothy foam; the result is sweet yet tangy (around 15–20% ABV).",300,Cocktails,"Allergens: Alcohol, Tree nuts (almond)"
Negroni,"Bold and sophisticated, this ruby-red classic blends a bitter thrill with botanical grace.  Made with equal parts gin, Campari, and sweet vermouth, served over ice with an orange peel; it has a strong bitter-citrus taste (about 24–30% ABV) and a robust, aromatic finish.",380,Cocktails,Allergens: Alcohol
Tequila Sunrise,"A dawn-colored delight, painting the glass with vibrant orange and crimson hues just like a desert sunrise.  Consisting of tequila and orange juice, with grenadine slowly poured to sink through the drink, this cocktail is fruity and layered (roughly 10–12% ABV).",450,Cocktails,Allergens: Alcohol
Classic Margarita,"A zesty timeless icon, a fiesta of bright lime and sun-kissed agave perched on a salt-rimmed glass.  Made with tequila, triple sec (orange liqueur), and fresh lime juice (often on the rocks or blended); it’s tangy and refreshing (around 20–25% ABV).",450,Cocktails,Allergens: Alcohol
Frozen Margarita,"A frosty swirl of tropical bliss, capturing summer vibes in a chilly sip.  Blended with ice, tequila, triple sec, and lime juice, this slushy version is ice-cold and tangy, ideal for hot afternoons (~15–20% ABV).",450,Cocktails,Allergens: Alcohol
Watermelon Mojito,"Juicy watermelon meets Caribbean charm, a vibrant cascade of mint and melon on the palate.  This twist on a mojito uses white rum muddled with fresh watermelon, mint, lime, and soda; it’s sweet, refreshing, and lightly effervescent (~10% ABV).",350,Cocktails,"Allergens: Alcohol, Citrus/Fruit (may affect allergies)"
Cosmopolitan,"Sleek and city-chic, a pink-hued cocktail that blends tart cranberry with crisp citrus, like a skyline reflected in twilight.  Vodka, cranberry juice, Cointreau (or triple sec), and lime juice are shaken and strained; the result is a tart, smooth drink (~15% ABV).",260,Cocktails,Allergens: Alcohol
Mango Daiquiri,"Tropical sunshine captured in a glass, where sweet mango purée dances with island rum.  Light rum blended with fresh mango and lime juice (and ice) produces a smooth, slushy cocktail bursting with fruity sweetness (~10% ABV).",350,Cocktails,"Allergens: Alcohol, Citrus/Fruit (may affect allergies)"
Piña Colada,"A luscious island dream, as if sipping a creamy tropical sunset on a sandy beach.  White rum, pineapple juice, and coconut cream are blended with ice into a smooth, sweet escape (~10–13% ABV).",350,Cocktails,Allergens: Alcohol
Gin Tonic,Gin Tonic is a cocktails crafted to delight. Gin Tonic delivers a signature drink experience inspired by classic flavors. Typical cocktail characteristics: 8-15% ABV (approx).,350,Cocktails,Allergens: Alcohol
Red Sangria,"A lively Spanish fiesta in a glass, pouring red hues and garlands of fruit into each sip.  Red wine (often with brandy or orange liqueur), plus fresh oranges, apples, and other fruits, chilled in a pitcher; it’s fruity, slightly sweet, and light (around 8–10% ABV).",350,Cocktails,Allergens: Alcohol
Bacardi Coke Float,"A playful Cuban riff, combining foamy cola cream and a whisper of rum warmth.  Bacardi rum is floated gently atop cola in a tall glass; as the cola froths, it creates a creamy foam. The drink is sipped by mixing through the foam (~5–8% ABV, since it’s mostly cola).",350,Cocktails,Allergens: Alcohol
Strawberry Haze,"A sweet pink haze enveloping the glass, like the blush of dawn mixed with ripe strawberry fields.  Typically made with vodka (or gin) and fresh strawberry puree, perhaps with a splash of citrus; the result is a bright, berry-forward cocktail (~10–15% ABV).",450,Cocktails,"Allergens: Alcohol, Citrus/Fruit (may affect allergies)"
Dulce De Dewar's,Dulce de Dewar's is a cocktails crafted to delight. Dulce de Dewar's delivers a signature drink experience inspired by classic flavors. Typical cocktail characteristics: 8-15% ABV (approx).,360,Cocktails,Allergens: Alcohol
Peach High Ball,"Bubbly peaches rising in a tall glass, as effervescent as an orchard breeze at dusk.  Typically whiskey or vodka mixed with iced tea or soda and peach syrup; it’s fizzy, sweet-peach flavored, and low-alcohol (~5–8% ABV).",250,Cocktails,Allergens: Alcohol
Purple Hands,"A mysterious violet bloom in your glass, bursting with lush berry aromas and intrigue.  Possibly a blend of tequila or gin with berry liqueurs (like blueberry or blackcurrant); it’s fruity, sweet, and moderately strong (~15% ABV).",300,Cocktails,Allergens: Alcohol
Lady Potion,"A delicate elixir, feminized by velvety fruit flavors and a subtle enchanting glow.  Often a mix of vodka and mixed berry liqueurs (or rose wine), with a bit of citrus, making a smooth, sweet cocktail (around 10–15% ABV).",250,Cocktails,Allergens: Alcohol
Blowjob,"An audacious and cheeky shot that starts off creamy and ends with a playful kick.  A layered shooter of coffee liqueur (such as Kahlúa) and Irish cream (Baileys), topped with whipped cream; meant to be consumed in one go (~20–25% ABV).",200,Shooters,Allergens: Alcohol
2 Face,"A mischievous two-faced shot with contrasting layers, where each side reveals its own character.  Often made with half crème de menthe or coffee liqueur and half bailey’s or crème, creating distinct flavors; sweet and potent (around 20–30% ABV).",200,Shooters,Allergens: Alcohol
Green Melon Shot,"A bright emerald drop of sweet melon lusciousness, refreshing as a summer orchard breeze.  Made with melon liqueur (like Midori) and vodka (sometimes with a splash of citrus); fruity and syrupy, about 20% ABV.",200,Shooters,Allergens: Alcohol
Jagerbomb,Jagerbomb is a shooters crafted to delight. Jagerbomb delivers a signature drink experience inspired by classic flavors. Typical shot characteristics: 15-40% ABV (approx).,350,Shooters,Allergens: Alcohol
Night Bomb,"A midnight thrill-packed bomb, bursting with bold liquor intensity under the cover of darkness.  Typically a combination of vodka and dark liqueur (or sometimes a cognac) dropped into an energy drink; strong (30–40% ABV in the mix) with a caffeinated kick.",300,Shooters,Allergens: Alcohol
Dewar's 12 Y/o (whiskey),Dewar's 12 y/o (Whiskey) is a single shot crafted to delight. Dewar's 12 y/o (Whiskey) delivers a signature drink experience inspired by classic flavors. Typical spirit characteristics: 40% ABV (approx).,300,Single Shot,Allergens: Alcohol
Singleton (whiskey),"A single malt whiskey known for its mellow sweetness and gentle oak character.  Distilled in Dufftown, 12 years old, 40% ABV; it’s light-bodied with caramel, apple, and malted barley notes.",370,Single Shot,Allergens: Alcohol
Jack Daniel (whiskey),Jack Daniel (Whiskey) is a single shot crafted to delight. Jack Daniel (Whiskey) delivers a signature drink experience inspired by classic flavors. Typical spirit characteristics: 40% ABV (approx).,250,Single Shot,Allergens: Alcohol
Black Label (whiskey),"A rich and smoky blended Scotch, each sip unveiling layers of peat, spice, and dried fruit.  Johnnie Walker Black Label, ~12-year blend, 40% ABV; balanced, well-rounded with a smoky finish.",250,Single Shot,Allergens: Alcohol
Jim Beam (whiskey),"A classic Kentucky bourbon, warm and hearty with sweet vanilla and charred oak notes.  Kentucky straight bourbon, 40% ABV; corn and rye sweetness with a hint of caramel and spice.",250,Single Shot,Allergens: Alcohol
Bacardi Black (rum),"A sultry black rum with deep caramel hues, evoking warm smoke and roasted nuts.  Dark rum, 40% ABV; aged longer for a richer flavor of molasses, vanilla, and smoky char.",250,Single Shot,Allergens: Alcohol
Cazadores Reposado (tequila),"An amber tequila imbued with a gentle whisper of oak, as though sunshine distilled into spirit.  Reposado (aged 2–11 months) tequila, 40% ABV; smooth with hints of vanilla, cooked agave, and light oak.",250,Single Shot,Allergens: Alcohol
Virgin Piña Colada,"A creamy tropical escape in a glass, blending coconut and pineapple to evoke beachside relaxation.  Coconut cream, pineapple juice, and ice are blended into a smooth, non-alcoholic delight; rich, sweet, and creamy (0% ABV).",300,Mocktails,Allergens: May contain traces of alcohol of alcohol (cross-contamination possible)
Elegant Purple,"A regal blend of bright purple hues, exuding exotic fruit aromas and royal refreshment.  Likely a mix of grape, blueberry, or blackcurrant juices with lemonade or soda; sweet, fruity, and completely alcohol-free.",300,Mocktails,Allergens: May contain traces of alcohol of alcohol (cross-contamination possible)
Apple Soda,"A crisp bubbly serenade of orchard-fresh apple in a sparkling embrace.  Carbonated apple-flavored soda; sweet and fizzy, often caffeine-free and full of apple aroma (0% ABV).",200,Mocktails,Allergens: Citrus/Fruit (may affect allergies)
Sliced Orange,Sliced Orange is a fruits crafted to delight. Sliced Orange delivers a signature drink experience inspired by classic flavors. A non-alcoholic offering.,150,Fruits,Allergens: Citrus/Fruit (may affect allergies)
Sliced Lemon,Sliced Lemon is a fruits crafted to delight. Sliced Lemon delivers a signature drink experience inspired by classic flavors. A non-alcoholic offering.,100,Fruits,Allergens: Citrus/Fruit (may affect allergies)
Mix Sliced Fruits,"A colorful bounty of ripened fruits, an abundant mosaic fresh from the harvest.  A seasonal assortment of fresh fruits (e.g. melon, pineapple, berries) sliced; sweet, juicy, and served chilled.",499,Fruits,Allergens: May contain traces of alcohol (cross-contamination possible)
Heineken Original,"A frosty bucket brimming with golden Heineken bottles, summoning convivial cheers.  Typically 5 bottles of Heineken Original on ice; each 330ml bottle is 5% ABV with a crisp, clean lager taste.",200,Beer Cans,Allergens: Alcohol
Heineken Silver,"An icy bucket of Heineken Silver cans, offering ultra-smooth refreshment for the crowd.  Usually 5 cans of Heineken Silver (4% ABV) on ice; light-bodied lager, very mild flavor.",200,Beer Cans,Allergens: Alcohol
Heineken Draft Beer,"Crafted to taste like a freshly poured draft, delivering vibrant bubbles in every can.  Heineken Draught-style in can, 5% ABV; crisp, effervescent lager flavor.",180,Beer Cans,"Allergens: Alcohol, Gluten"
San Mig Hard Seltzer Citrus Mix,"A frosty bucket filled with sparkling citrus cocktails, each can a zesty escape.  Bucket of 5 San Mig Hard Seltzer Citrus Mix cans; each 330ml is 5% ABV, gluten-free and flavored with lemon/citrus.",200,Beer Cans,Allergens: Alcohol
San Mig Chocolate Lager,"A chilled bucket of rich chocolate-lager bottles, promising sweet indulgence among friends.  Contains 5 bottles of San Mig Chocolate Lager (5% ABV) on ice; dark lager infused with cocoa.",200,Beer Cans,Allergens: Alcohol
San Mig Apple,"A crisp bucket of apple-infused beers, ready for autumnal refreshment.  Bucket of 5 San Mig Apple cans (5% ABV); lager with apple flavor, sweet and fruity.",210,Beer Cans,"Allergens: Alcohol, Citrus/Fruit (may affect allergies)"
San Mig Light,"A pale bucket of light beers, perfect for watching the sun go down together.  Bucket of 5 San Mig Light bottles (3–4% ABV); light lager, low calories, mild taste.",200,Beer Cans,Allergens: Alcohol
San Mig Pilsen,"A bucket of bright pilsners, capturing the sharp character of the classic brew.  Bucket of 5 San Mig Pale Pilsen bottles (5% ABV); well-hopped lager, balanced maltiness.",200,Beer Cans,Allergens: Alcohol
San Mig Super Dry,"A frosty bucket of extra-dry lagers, crisp and clean as mountain air.  Bucket of 5 San Mig Super Dry bottles (5% ABV); ultra-light lager, very dry finish.",200,Beer Cans,Allergens: Alcohol
San Mig Premium All-malt,"A bucket of all-malt brews, rich and smooth for sharing.  Bucket of 5 San Mig Premium All-Malt bottles (5% ABV); fuller malt flavor in each lager.",200,Beer Cans,Allergens: Alcohol
Smirnoff Mule,"An icy bucket of canned mule cocktails, sparking up any party.  Bucket of 5 Smirnoff Mule cans (5% ABV each); pre-mixed vodka-ginger-lime drink, fizzy and zesty.",200,Beer Cans,Allergens: Alcohol
Corona Beer,"A chilled bucket of Corona, golden and carefree.  Bucket of 5 Corona bottles (4.6% ABV each); classic Mexican lager, light and refreshing.",220,Beer Cans,"Allergens: Alcohol, Gluten"
Canada Dry,"A bucket of bubbly ginger ale, crisp and tangy.  Bucket of 5 Canada Dry bottles; non-alcoholic ginger soda.",220,Beer Cans,Allergens: Alcohol
Suntory Hapikle,"A tropical soda bucket, sweet kiwi fizz for the group.  Bucket of 5 Suntory Hapikle cans; kiwi soda, 0% ABV.",190,Beer Cans,Allergens: Alcohol
Suntory White Sour,"A bucket of citrusy canned cocktails, tart and lively.  Bucket of 5 Suntory White Sour cans; each ~7% ABV, lemon-flavored chuhai.",190,Beer Cans,Allergens: Alcohol
Heineken Original,"A frosty bucket brimming with golden Heineken bottles, summoning convivial cheers.  Typically 5 bottles of Heineken Original on ice; each 330ml bottle is 5% ABV with a crisp, clean lager taste.",1000,Beer Buckets,Allergens: Alcohol
Heineken Silver,"An icy bucket of Heineken Silver cans, offering ultra-smooth refreshment for the crowd.  Usually 5 cans of Heineken Silver (4% ABV) on ice; light-bodied lager, very mild flavor.",1000,Beer Buckets,Allergens: Alcohol
San Mig Hard Seltzer Citrus Mix,"A frosty bucket filled with sparkling citrus cocktails, each can a zesty escape.  Bucket of 5 San Mig Hard Seltzer Citrus Mix cans; each 330ml is 5% ABV, gluten-free and flavored with lemon/citrus.",1000,Beer Buckets,Allergens: Alcohol
San Mig Chocolate Lager,"A chilled bucket of rich chocolate-lager bottles, promising sweet indulgence among friends.  Contains 5 bottles of San Mig Chocolate Lager (5% ABV) on ice; dark lager infused with cocoa.",1000,Beer Buckets,Allergens: Alcohol
San Mig Apple,"A crisp bucket of apple-infused beers, ready for autumnal refreshment.  Bucket of 5 San Mig Apple cans (5% ABV); lager with apple flavor, sweet and fruity.",1000,Beer Buckets,"Allergens: Alcohol, Citrus/Fruit (may affect allergies)"
San Mig Light,"A pale bucket of light beers, perfect for watching the sun go down together.  Bucket of 5 San Mig Light bottles (3–4% ABV); light lager, low calories, mild taste.",1000,Beer Buckets,Allergens: Alcohol
San Mig Pilsen,"A bucket of bright pilsners, capturing the sharp character of the classic brew.  Bucket of 5 San Mig Pale Pilsen bottles (5% ABV); well-hopped lager, balanced maltiness.",1000,Beer Buckets,Allergens: Alcohol
San Mig Super Dry,"A frosty bucket of extra-dry lagers, crisp and clean as mountain air.  Bucket of 5 San Mig Super Dry bottles (5% ABV); ultra-light lager, very dry finish.",1000,Beer Buckets,Allergens: Alcohol
San Mig Premium All-malt,"A bucket of all-malt brews, rich and smooth for sharing.  Bucket of 5 San Mig Premium All-Malt bottles (5% ABV); fuller malt flavor in each lager.",1000,Beer Buckets,Allergens: Alcohol
Smirnoff Mule,"An icy bucket of canned mule cocktails, sparking up any party.  Bucket of 5 Smirnoff Mule cans (5% ABV each); pre-mixed vodka-ginger-lime drink, fizzy and zesty.",1000,Beer Buckets,Allergens: Alcohol
Corona Beer,"A chilled bucket of Corona, golden and carefree.  Bucket of 5 Corona bottles (4.6% ABV each); classic Mexican lager, light and refreshing.",1120,Beer Buckets,"Allergens: Alcohol, Gluten"
Canada Dry,"A bucket of bubbly ginger ale, crisp and tangy.  Bucket of 5 Canada Dry bottles; non-alcoholic ginger soda.",1120,Beer Buckets,Allergens: Alcohol
Suntory Hapikle,"A tropical soda bucket, sweet kiwi fizz for the group.  Bucket of 5 Suntory Hapikle cans; kiwi soda, 0% ABV.",940,Beer Buckets,Allergens: Alcohol
Suntory White Sour,"A bucket of citrusy canned cocktails, tart and lively.  Bucket of 5 Suntory White Sour cans; each ~7% ABV, lemon-flavored chuhai.",940,Beer Buckets,Allergens: Alcohol
Coke In Can Original,"The classic cola sparkle, effervescing with caramel sweetness and timeless refreshment.  Coca-Cola in a 330ml can; sweetened with sugar (or high-fructose corn syrup), highly carbonated, caffeinated.",120,Beverages,Allergens: May contain traces of alcohol (cross-contamination possible)
Coke In Can Zero,"All the vibrant fizz of cola, reimagined without the sugar, yet bursting with familiar cola zing.  Coca-Cola Zero Sugar in a 330ml can; zero sugar, zero calories, sweetened with artificial sweeteners, caffeinated.",120,Beverages,Allergens: May contain traces of alcohol (cross-contamination possible)
Coke In Can Vanilla,"A smooth vanilla twist on the iconic cola, a creamy bouquet melding with caramel fizz.  Vanilla Coke in a 330ml can; real vanilla flavor added, sweetened (about 150 calories), caffeinated.",120,Beverages,Allergens: May contain traces of alcohol (cross-contamination possible)
Coke In Can Light,"A lighter, lower-calorie cola option that keeps the bright, fizzy essence of the original.  Coke Light (Diet Coke) 330ml; sugar-free (aspartame sweetener), low calories, caffeinated, crisp taste.",120,Beverages,Allergens: May contain traces of alcohol (cross-contamination possible)
Sprite In Can Original,"Lime-laced effervescence, bright and clear as mountain spring water.  Sprite 330ml can; lemon-lime soda, caffeine-free, very bubbly and crisp.",120,Beverages,Allergens: May contain traces of alcohol (cross-contamination possible)
Sprite In Can Zero,"All the zesty sparkle of Sprite, reinvented without the sugar – a crisp burst of citrus without guilt.  Sprite Zero Sugar, 330ml; sugar-free, sweetened with stevia/aspartame, caffeine-free, very refreshing.",120,Beverages,Allergens: May contain traces of alcohol (cross-contamination possible)
Delmonte Pineapple,"A tropical golden nectar, rich with the sun-soaked sweetness of ripe pineapple.  Del Monte Pineapple Juice, 330ml can; 100% fruit juice (no sugar added), packed with vitamin C and natural pineapple flavor.",150,Beverages,Allergens: Citrus/Fruit (may affect allergies)
Delmonte Four Seasons,"A medley of orchard fruits blended into one glass, offering a symphony of natural sweetness.  Del Monte Four Seasons Juice, 330ml can; a mix of apple, grape, plum, guava, and pear juices, no added sugar.",150,Beverages,Allergens: May contain traces of alcohol (cross-contamination possible)
Redbull Original (energy Drink),Redbull Original (energy drink) is a beverages crafted to delight. Redbull Original (energy drink) delivers a signature drink experience inspired by classic flavors. A non-alcoholic offering.,200,Beverages,Allergens: May contain traces of alcohol (cross-contamination possible)
Redbull Sugarfree (energy Drink),Redbull Sugarfree (energy drink) is a beverages crafted to delight. Redbull Sugarfree (energy drink) delivers a signature drink experience inspired by classic flavors. A non-alcoholic offering.,200,Beverages,Allergens: May contain traces of alcohol (cross-contamination possible)
Schweppes Soda Water,"An effervescent pure sparkle, as clear as a glacier pool, ready to enliven any drink.  Schweppes Soda Water, 250ml; carbonated water with no sugar or flavor, used as a mixer or on its own.",130,Beverages,Allergens: May contain traces of alcohol (cross-contamination possible)
Schweppes Tonic Water,"A refined fizz with a gentle quinine bite, perfectly complementing botanicals in a glass.  Schweppes Tonic Water, 250ml; carbonated water with quinine and sweeteners (about 80 calories), slightly bitter.",130,Beverages,Allergens: May contain traces of alcohol (cross-contamination possible)
Xclv Bottle Water 500ml,"A crisp glass bottle containing pure spring water, refreshing and pristine.  Xclv Natural Spring Water, 500ml still; pH balanced, no additives.",100,Beverages,Allergens: May contain traces of alcohol (cross-contamination possible)
Summit Bottle Water 500ml,"Portable purity in a slender bottle, a cool sip on demand.  Summit Natural Spring Water, 500ml still; no calories, hydrating.",100,Beverages,Allergens: May contain traces of alcohol (cross-contamination possible)
Summit Still 330ml,"Compact hydration, a mini refreshment for quick vigor.  Summit Natural Spring Water, 330ml still; convenient size, pure water.",120,Beverages,Allergens: May contain traces of alcohol (cross-contamination possible)
Evian 750ml,"Mineral-rich Alpine water, delivered from mountain springs to invigorate with a silky finish.  Evian Natural Mineral Water, 750ml; contains essential minerals (calcium, magnesium), smooth taste.",300,Beverages,Allergens: May contain traces of alcohol (cross-contamination possible)
Premium Japanese Beef Wagyu Cubes 500g,"Juicy marbled jewels of Wagyu beef, promising unmatched buttery richness with every savory bite.  500g of A5-grade Japanese Wagyu beef cubes; extremely high fat marbling, very tender, ideal for grilling or fondue.",2000,Food,Allergens: May contain traces of alcohol (cross-contamination possible)
Australian Beef Angus Kilcoy Ribeye 250g,"A robust ribeye steak straight from the Aussie pastures, thick-cut and bursting with savory marbling.  250g of Australian Angus ribeye (Kilcoy beef); grass-fed, rich beef flavor and moderate marbling, best enjoyed grilled.",1500,Food,Allergens: May contain traces of alcohol (cross-contamination possible)
Special Kinilaw 300g,"A refreshing ceviche, tangy with tropical zest – seafood cured in vinegar and citrus in a fiery embrace.  300g of Filipino kinilaw: raw fish marinated in vinegar or calamansi juice with ginger, chili, onion, and salt; served cold and spicy.",700,Food,Allergens: Fish / Shellfish
Lumpia Bombs (chicken Spam & Cheese),"Golden-fried pockets hiding a molten mix of tender chicken, savory Spam, and melting cheese.  Fried spring rolls filled with shredded chicken, Spam slices, and cheese; crispy on the outside, gooey inside; served with dipping sauce.",350,Food,"Allergens: Dairy, Gluten"
Lumpia Tacos,"A playful fusion, where crisp lumpia wrappers cradle seasoned fillings like a fiesta taco.  Lumpia wrappers fried to a crunchy taco shell, filled with spiced pork or beef, lettuce, and salsa; spicy, savory, and handheld.",350,Food,Allergens: Gluten
Cheesy Nachos,"A crunchy mountain of tortilla chips blanketed under melted cheeses and jalapeños, adorned with salsa and sour cream.  Tortilla chips topped with melted cheddar (or mixed cheese), jalapeños, tomatoes, and onions; hearty snack, often served with dips.",390,Food,"Allergens: Dairy, Gluten"
Seafood Sampler,"An oceanic bounty on a platter, teeming with shrimp, calamari, and fish, as colorful as a coral reef.  Mixed platter of breaded/fried or grilled seafood (shrimp, squid, fish); served with lemon and dipping sauces; rich in protein.",399,Food,Allergens: Fish / Shellfish
Buttered Chicken,"Tender morsels bathed in a creamy tomato curry, fragrant with garam masala and a kiss of butter.  Chicken tikka cooked in a spiced tomato-cream sauce (butter chicken style); rich, mildly spiced and served with naan or rice.",399,Food,Allergens: Dairy
Four Cheese Pizza,"A molten tapestry of four cheeses melting into a crispy crust, a symphony of creaminess.  Pizza with mozzarella, cheddar, provolone, and parmesan over tomato sauce on a thin crust; gooey cheese, baked to golden.",399,Food,"Allergens: Dairy, Egg, Gluten"
Veggies & Cheese Pizza,"A vibrant garden of vegetables crowned with gooey cheese atop a golden crust.  Pizza topped with assorted vegetables (peppers, olives, onions, tomatoes) and mozzarella; flavorful and cheesy.",399,Food,"Allergens: Dairy, Egg, Gluten"
Beef Shawarma Pizza,"An exotic feast where spiced shawarma beef melds with cheese under a warm crust, East meets West on a plate.  Pizza with marinated beef shawarma, garlic sauce, tomatoes, onions, and mozzarella; savory and aromatic with Middle Eastern spices.",399,Food,"Allergens: Dairy, Egg, Gluten"
Buffalo Chicken Wings,"Fiery orange wings tossed in spicy buffalo sauce, perfect for heat seekers and sports nights.  Chicken wings deep-fried then coated in tangy-salty buffalo hot sauce; served with cooling ranch or blue cheese dip.",380,Food,"Allergens: Egg, Soy"
Soy Garlic Chicken Wings,"Golden wings glazed in sticky soy and garlic, a sweet-savory melody with each crispy bite.  Fried chicken wings tossed in a sweet soy-garlic sauce; sticky and flavorful, garnished with sesame and spring onions.",380,Food,"Allergens: Egg, Soy"
Parmesan Chicken Wings,"Crunchy wings sprinkled with nutty Parmesan and herbs, delivering an Italian twist to classic wings.  Fried wings tossed with garlic-Parmesan seasoning and parsley; savory and crisp, often served with marinara dip.",380,Food,"Allergens: Egg, Soy"
Salted Egg Chicken Wings,"Rich and indulgent wings coated in a creamy salted egg yolk sauce, intensely savory and luscious.  Crisp fried wings tossed in a sauce made from salted duck egg yolk, butter, and spices; ultra-rich umami flavor.",380,Food,"Allergens: Egg, Soy"
Cheese Quesadilla,"Griddled tortilla folded around bubbling cheese, a crispy and gooey treat with a Mexican heart.  Flour tortilla filled with shredded cheese (cheddar/Monterey Jack), folded and toasted; served with salsa or sour cream.",200,Food,"Allergens: Dairy, Gluten"
Plain Rice (1 Cup),"A fluffy bed of steamed rice, pure and comforting – the perfect canvas for your main dish.  One cup of plain white rice (approx. 200g cooked); steamed with no oil or seasoning, neutral and filling.",50,Food,Allergens: May contain traces of alcohol (cross-contamination possible)
Bacardi Superior 750ml,"A clear Caribbean classic, as light and spirited as a warm sea breeze.  Bacardi Superior white rum, 750ml, 40% ABV; smooth, clean profile distilled from sugarcane, ideal for cocktails.",2700,Rum,Allergens: Alcohol
Bacardi Gold 750ml,"A warm golden rum bursting with tropical spice and caramel warmth, like island sunbeams.  Bacardi Gold rum, 750ml, 40% ABV; aged slightly in oak, giving mild vanilla and caramel flavors with a hint of spice.",2700,Rum,Allergens: Alcohol
Bacardi Black 750ml,"A bold inky rum, rich as midnight chocolate and smoky as an island bonfire.  Bacardi Black rum, 750ml, 40% ABV; dark rum aged longer, with flavors of molasses, roasted cocoa, and oak.",2900,Rum,Allergens: Alcohol
Bacardi 8 Y/o 750ml,"An elegant aged rum, matured into a tapestry of oak, honey, and tobacco whispers.  Bacardi 8 Años, 750ml, 40% ABV; 8 years barrel-aged, offering a smooth amber spirit with dried fruit, oak, and vanilla notes.",4000,Rum,Allergens: Alcohol
Don Papa 700ml,"A velvety Filipino rum swathed in notes of vanilla and candied pineapple, as sweet as Manila twilight.  Don Papa 7-year aged rum, 700ml, 40% ABV; matured in sherry casks, with rich vanilla, apricot, and spice.",4500,Rum,Allergens: Alcohol
Cazadores Reposado 750ml,"An oak-aged tequila glinting golden, mellowed by a gentle whisper of barrel spice.  Cazadores Reposado (aged 2–11 months), 750ml, 40% ABV; smooth with caramel, vanilla, and cooked agave flavors.",3600,Tequila,Allergens: Alcohol
Patron Silver 750ml,"A crisp, clear shot of Mexico’s heartland, its pure agave spirit invigorating and pristine.  Patrón Silver, 750ml, 40% ABV; unaged tequila blanco; fresh peppery agave flavor with citrus notes.",7000,Tequila,Allergens: Alcohol
Patron Reposado 750ml,"A warm-hued tequila, marrying agave brightness with the gentle embrace of oak.  Patrón Reposado, 750ml, 40% ABV; aged in oak barrels (~2–11 months); soft vanilla and caramel notes over agave.",8000,Tequila,Allergens: Alcohol
Patron Añejo 750ml,"A rich amber treasure, with caramel and spice matured gracefully in casks.  Patrón Añejo, 750ml, 40% ABV; aged 1–3 years; deep notes of chocolate, oak, and dried fruit.",9000,Tequila,Allergens: Alcohol
